Year,,Month,Agriculture,Forestry and logging,"Fishing, aquaculture and agriculture, forestry and fishing support services",Mining,"Food, beverage, and tobacco manufacturing"," Textile, leather, clothing, and footwear manufacturing",Wood and paper products manufacturing,Printing,"Petroleum, chemical, polymer, and rubber product manufacturing",Non-metallic mineral product manufacturing, Metal product manufacturing,"Transport equipment, machinery and equipment manufacturing",Furniture and other manufacturing,Manufacturing,"Electricity, gas, water, and waste services",Construction,Wholesale trade,Retail trade,Accommodation and food services,"Transport, postal, and warehousing",Information media and telecommunications,Financial and insurance services,"Rental, hiring, and real estate services",Ownership of owner-occupied dwellings,"Professional, scientific, and technical services",Administrative and support services,Local government administration,"Central government administration, defence, and public safety",Education and training,Health care and social assistance,Arts and recreation services,Other services,Unallocated industries,Gross domestic product
2004,,Mar,-0.3,7.3,0.2,9.2,1.6,-8.4,6.5,1.8,3.8,0.2,3.5,7.0,1.3,2.9,2.3,2.3,2.5,1.6,1.7,1.6,0.5,2.9,0.3,1.0,1.4,1.3,-0.6,1.3,0.0,2.7,0.0,2.8,2.3,1.7
,,Jun,-2.0,-6.4,2.9,3.3,4.5,4.4,-2.2,3.6,0.1,4.0,-3.7,-4.6,-1.9,0.5,-2.9,7.0,1.5,0.8,1.6,2.3,0.7,1.8,0.6,1.1,-0.4,-0.7,0.8,3.2,-0.2,-0.7,-2.4,-0.1,1.1,0.9
,,Sep,-5.5,2.9,-4.9,-9.6,-6.0,5.5,5.8,-5.0,0.6,2.3,0.8,2.7,0.4,-0.7,-0.1,0.6,1.8,3.4,2.5,0.9,0.8,1.5,-0.1,1.3,-0.2,0.4,2.3,-1.2,-0.4,-0.1,-1.0,0.4,0.7,0.3
,,Dec,-1.0,-1.5,3.8,3.2,-0.9,2.9,0.5,3.7,0.8,0.6,-0.9,1.1,3.4,0.4,-4.9,-1.9,1.7,-0.1,0.9,1.2,1.6,1.5,2.5,1.2,2.3,3.4,-0.8,1.6,-0.6,1.7,2.4,0.2,0.2,0.4
2005,,Mar,3.0,1.8,5.7,-1.7,1.3,-1.6,-2.7,-0.4,-1.9,-1.7,-1.0,1.4,-3.2,-0.4,2.4,1.3,0.1,1.4,-1.5,2.0,0.2,2.2,2.3,1.2,1.0,1.1,3.0,0.2,-0.8,2.2,-0.6,-1.2,1.0,1.2
,,Jun,3.1,-1.0,-8.0,7.0,2.7,-3.1,4.6,-0.9,1.5,2.7,1.2,0.5,1.2,1.8,1.9,3.3,3.8,1.7,2.5,1.9,0.0,0.7,1.1,0.9,1.9,1.5,2.1,2.7,-1.0,3.3,-3.1,-0.5,1.5,1.6
,,Sep,2.9,-1.1,-1.4,-1.9,5.8,-3.5,-7.2,-1.0,0.9,-2.9,-0.8,1.4,-5.1,1.0,-1.3,-3.2,-0.1,2.0,0.4,0.1,0.7,1.0,0.7,0.8,0.7,1.4,0.2,1.7,-0.7,0.2,1.0,-0.7,0.1,0.5
,,Dec,-0.1,1.1,2.9,-0.4,-6.9,4.0,1.8,-1.4,-2.0,-1.2,-0.5,-4.2,-0.1,-3.1,-0.1,1.9,-1.5,0.1,1.5,-3.3,0.5,0.9,0.6,1.0,0.4,1.0,0.7,0.7,-0.3,1.2,2.1,-0.2,0.5,-0.4
2006,,Mar,5.5,-0.9,-4.8,4.1,4.1,1.4,0.9,-0.6,-2.3,0.6,-0.6,0.0,8.3,1.2,-0.3,5.0,1.7,0.2,0.5,-0.4,-0.2,1.1,0.6,1.2,0.9,0.1,0.0,2.9,0.1,0.5,4.7,1.1,1.7,1.6
,,Jun,0.3,4.1,2.6,-8.5,1.7,0.7,-1.5,-6.8,-1.3,-1.3,-4.3,-4.9,-7.5,-1.5,6.6,-2.6,-0.9,1.1,1.1,-1.3,1.3,1.6,0.5,1.1,2.2,3.9,1.7,-0.1,0.5,2.1,-3.1,-4.0,-0.6,0.5
,,Sep,-2.4,1.4,9.1,-2.9,-11.2,-0.9,1.5,3.7,-3.0,5.8,2.0,1.0,-0.5,-3.6,-0.9,2.3,2.2,1.2,0.4,0.7,2.3,1.4,2.6,1.5,1.3,1.8,1.8,11.5,0.3,-0.4,-3.0,0.5,2.4,0.6
,,Dec,-4.5,4.6,-1.7,10.9,7.3,2.3,-0.5,-4.1,6.1,1.5,-1.8,0.3,-0.1,3.2,3.4,2.6,0.1,2.8,2.1,-0.4,3.2,1.5,0.8,1.0,0.0,4.5,3.5,2.1,0.1,1.2,2.9,1.8,1.8,0.9
2007,,Mar,-6.6,0.2,3.3,-1.9,-0.4,-1.2,-1.2,1.2,-2.6,1.7,0.9,2.0,-0.4,-0.3,0.6,2.1,1.2,3.5,1.8,1.2,1.1,1.2,2.2,1.3,1.9,-1.6,2.9,2.8,-0.1,1.2,-2.9,3.5,1.8,1.2
,,Jun,-6.2,-0.6,2.3,8.9,-1.4,-0.8,3.3,0.6,-1.0,1.7,1.9,8.5,-4.3,1.1,-4.2,1.3,1.5,-0.3,-1.9,0.7,1.5,0.2,-2.6,0.8,2.2,0.8,1.0,-3.2,-0.3,1.8,2.4,-0.3,1.0,0.9
,,Sep,-7.9,-1.4,-2.9,52.3,4.8,3.1,-1.9,0.1,0.8,-0.6,-6.5,-3.5,-0.9,0.2,1.9,1.9,1.3,-1.5,0.7,0.8,1.3,0.1,-2.2,0.7,1.6,-0.4,2.2,4.1,0.0,1.5,-0.8,1.7,0.0,0.7
,,Dec,-4.5,0.3,-1.4,24.2,-0.4,-7.1,-3.2,0.9,-1.6,2.9,-2.8,5.3,-1.8,-0.3,-0.1,2.1,0.9,-1.1,-1.2,1.5,2.0,0.4,-1.4,0.8,2.3,0.4,-0.5,2.5,0.4,0.7,2.8,1.4,0.2,0.2
2008,,Mar,-3.0,3.3,-1.3,-2.3,-2.6,-0.1,0.7,-1.2,1.3,-3.1,-1.6,-5.4,-6.0,-2.0,0.6,-5.0,-1.6,0.5,1.0,2.7,1.5,-0.2,-2.2,0.9,-0.2,-4.5,3.7,0.0,0.7,1.0,-2.0,-0.1,0.3,-0.3
,,Jun,4.8,-8.6,-4.3,-3.4,4.9,0.3,-4.3,-1.3,-1.4,1.2,1.1,-3.3,2.4,0.4,-2.4,-3.9,-1.5,-2.6,-1.3,-0.1,-0.7,0.0,0.2,0.7,-0.1,-8.9,0.8,5.1,1.1,1.9,-2.1,0.1,-1.9,-0.3
,,Sep,14.3,2.6,-6.1,-13.0,-6.0,-2.3,-6.1,-7.4,0.7,-9.6,-6.3,-0.2,-10.8,-4.2,3.6,1.1,-1.0,-0.6,-1.0,-1.7,0.0,0.3,0.0,0.7,-1.0,-3.4,2.1,-2.1,0.8,0.1,-3.2,-1.4,-0.4,-0.3
,,Dec,3.7,-2.0,0.2,-7.1,-8.7,-1.1,-2.0,-6.0,-10.1,-2.4,-10.8,-7.9,-3.9,-7.7,-0.9,-4.6,-2.3,-0.9,-1.5,-1.6,-0.3,1.3,1.0,0.5,1.2,-1.2,2.2,2.3,0.5,1.3,3.9,0.0,-0.6,-0.7
2009,,Mar,1.4,1.7,-1.0,2.5,4.9,-14.3,-3.2,-4.4,1.4,-5.5,-9.8,-8.7,-4.1,-2.0,0.2,3.2,-4.3,-2.5,-1.7,-5.0,1.1,1.7,1.9,0.1,-1.3,-4.0,0.6,-0.3,0.3,0.2,-5.9,-2.7,-2.4,-1.0
,,Jun,1.2,5.3,-4.7,1.3,-12.1,7.7,1.1,2.7,-2.8,-8.4,-0.9,-2.9,1.6,-5.8,4.3,-0.6,-1.3,0.8,1.3,-0.5,1.3,0.8,1.1,0.2,-1.7,-2.1,2.4,-0.9,0.1,2.3,5.8,0.6,2.1,-0.1
,,Sep,-2.1,3.9,-0.5,21.1,8.1,-8.0,8.0,-1.5,-1.2,3.1,4.1,4.9,2.8,4.8,-2.0,-0.4,-1.2,1.1,0.0,0.5,-0.3,0.5,-0.3,0.6,-1.2,1.6,0.0,-2.4,0.1,1.2,-6.0,-1.3,0.6,0.5
,,Dec,0.7,0.2,-5.0,-10.9,18.3,4.0,3.1,4.8,2.4,-0.3,4.9,6.2,-1.1,9.7,3.3,1.2,0.8,1.2,2.1,3.3,-1.7,0.3,-0.3,0.9,-0.8,1.7,1.3,6.0,0.2,-1.0,8.5,-0.7,-1.0,1.3
2010,,Mar,-2.1,5.6,-4.7,2.3,-6.8,5.4,1.7,1.5,3.2,1.3,1.1,4.0,2.1,-1.5,0.2,-1.1,1.5,0.6,1.5,2.8,1.4,-0.3,-0.1,1.0,2.9,1.1,-1.6,-2.6,0.3,0.4,1.1,3.3,0.7,0.3
,,Jun,-10.2,1.6,4.5,1.2,0.0,0.0,1.4,-1.6,2.1,-1.1,-2.8,-2.6,-2.5,-0.5,1.7,3.1,2.1,1.0,-0.4,1.7,2.2,0.0,-0.5,1.0,1.0,8.4,1.3,0.8,0.3,-0.1,-6.3,-3.0,2.3,0.7
,,Sep,-0.9,1.1,0.7,-8.0,-6.6,-0.3,0.7,-1.5,-4.3,-2.9,-0.3,-2.5,1.5,-3.4,-0.6,-3.9,3.8,0.2,0.3,3.6,1.6,0.3,0.9,1.1,3.1,0.3,2.3,1.1,0.2,-0.5,-1.3,0.3,-2.8,-0.2
,,Dec,-1.4,4.2,7.1,-4.2,-2.5,-3.5,-6.4,2.3,12.0,0.1,3.8,4.7,1.7,1.7,-0.4,-0.2,0.3,-1.7,-0.5,0.5,2.7,0.7,0.2,1.0,-3.9,-1.1,2.1,-1.5,0.0,0.4,0.5,-1.7,1.8,-0.5
2011,,Mar,3.7,0.7,3.8,-3.3,2.3,0.1,3.4,-16.8,-12.3,3.1,-3.4,13.2,-5.7,0.2,1.0,-1.7,0.2,2.1,0.6,0.6,1.4,0.7,1.4,1.3,3.0,3.2,2.5,1.2,-0.1,-1.5,-0.1,2.3,1.3,1.1
,,Jun,9.3,0.6,-1.1,-7.6,5.1,-4.4,-0.2,7.5,3.3,-1.6,-1.1,-6.1,-0.3,0.8,-0.6,0.3,3.2,0.9,-0.4,-0.7,0.9,1.1,2.3,0.7,0.1,4.1,-4.2,-0.3,-0.2,0.5,-2.7,2.1,-1.9,0.5
,,Sep,-0.6,0.2,2.1,5.1,2.4,-3.0,-1.7,0.6,1.3,1.3,-2.8,-1.7,7.2,0.4,-1.7,1.6,-3.0,1.7,4.4,1.3,-0.1,0.3,0.9,0.9,0.5,-3.3,4.1,0.3,-0.1,2.1,2.5,0.7,3.2,1.0
,,Dec,3.0,-2.3,-2.3,-3.4,-9.1,-8.0,1.4,-3.7,3.3,-7.4,-1.6,-6.3,-8.7,-4.6,-1.6,2.6,1.2,1.7,0.8,-0.4,0.7,0.7,3.1,1.0,-1.6,1.5,-2.8,-1.4,0.0,0.6,3.4,0.7,0.2,0.6
2012,,Mar,5.1,1.1,1.5,-2.1,6.8,-1.3,-1.4,7.9,-1.1,4.0,8.8,1.5,2.9,3.6,2.1,-1.6,1.7,0.8,-1.6,0.4,-0.5,0.3,-1.0,1.1,-0.3,1.6,1.7,2.2,0.1,1.2,-0.8,-2.3,-0.7,0.6
,,Jun,3.5,7.2,4.5,1.9,-0.4,1.4,-1.0,-1.5,0.9,6.9,-1.3,2.3,1.3,0.4,0.6,-0.5,0.6,0.9,-0.5,1.1,1.2,0.4,0.1,0.8,1.9,-0.2,0.4,-2.4,0.2,1.5,-1.8,-2.0,1.8,0.3
,,Sep,-2.4,-5.5,0.7,-4.2,1.4,3.3,-3.9,0.5,1.2,-1.1,-7.3,-1.4,-3.0,-0.6,2.7,4.2,-0.5,0.2,-0.1,-1.2,3.3,0.8,1.0,0.8,0.9,-5.9,-0.2,0.8,0.0,-0.5,0.5,0.3,-0.4,0.3
,,Dec,-0.1,9.2,-2.4,-2.7,5.0,7.1,2.0,-6.9,-0.7,6.0,4.5,-3.1,-1.3,2.0,1.1,3.1,0.7,1.6,1.4,0.7,1.8,1.1,0.6,0.6,2.3,0.1,1.7,1.3,-0.1,0.6,6.6,1.2,1.4,1.5
2013,,Mar,-4.7,-2.3,2.6,5.6,-2.1,-2.4,-0.1,-1.0,1.4,-0.5,-4.7,-0.8,5.4,-1.2,-1.6,1.5,1.0,1.0,1.3,-1.0,1.7,0.9,-0.4,0.6,-1.3,4.0,0.1,-0.6,-0.2,-0.2,-3.5,-0.1,0.8,-0.3
,,Jun,-7.2,1.8,2.7,4.7,-0.8,-0.6,0.6,-3.3,1.6,3.1,2.1,1.3,-1.0,0.4,-1.7,0.6,-0.5,1.6,2.1,0.8,2.5,1.5,1.5,1.4,5.0,2.5,1.3,3.4,-0.4,0.5,-4.9,1.2,0.9,1.2
,,Sep,11.1,5.8,5.4,-11.4,-0.7,0.5,2.4,4.1,0.9,3.7,3.0,-2.1,1.7,0.4,-0.4,-1.3,0.9,0.9,0.1,0.8,3.3,0.5,1.0,1.4,0.7,-5.4,0.5,-0.7,-0.2,1.2,4.3,0.3,0.8,0.6
,,Dec,-2.9,-2.6,4.2,3.6,-0.9,-0.5,-1.5,5.6,-2.1,4.9,0.3,4.8,1.3,0.3,2.8,0.9,2.0,0.7,-0.9,1.9,0.5,0.4,-0.8,1.0,0.6,0.4,1.4,-0.1,-0.1,0.8,-3.4,0.5,0.6,0.2
2014,,Mar,2.3,-0.4,1.5,14.3,1.4,-2.0,-2.1,0.7,2.7,4.7,3.4,-1.4,1.7,1.1,0.0,5.6,-0.2,0.6,1.7,1.8,2.4,-0.1,-0.4,1.0,1.1,0.2,-0.3,0.4,0.1,0.1,2.2,3.1,1.0,1.5
,,Jun,-0.9,0.1,-0.5,-3.8,1.3,4.4,0.2,2.0,-1.1,-2.7,-0.5,3.0,-1.1,0.7,-0.1,2.7,2.4,1.1,3.4,3.4,0.4,0.9,-1.4,1.2,1.0,7.2,1.6,1.7,0.2,0.8,1.6,1.3,1.0,0.5
,,Sep,4.3,-4.4,-0.1,4.5,-3.5,2.7,4.7,-4.4,-1.4,4.8,3.6,2.6,-2.8,-0.2,2.0,2.3,-1.0,1.9,1.8,-1.2,3.6,0.6,0.0,1.3,0.0,-6.2,1.5,0.9,0.2,1.7,2.2,0.3,2.2,1.3
,,Dec,1.6,4.9,2.4,-3.1,2.0,-5.7,-4.2,4.8,3.0,-1.8,-0.6,1.3,2.0,1.0,0.1,-2.2,0.5,1.9,3.2,2.5,3.1,2.1,2.1,1.4,1.3,2.2,0.9,1.5,0.2,0.0,1.5,1.2,0.6,1.6
2015,,Mar,-1.3,2.5,0.2,-6.8,-0.1,0.9,2.4,-5.4,1.4,2.6,0.7,-3.7,2.9,-0.1,0.5,3.7,-1.6,1.5,1.9,3.1,0.5,-0.5,1.1,0.5,0.2,4.9,-1.6,-0.6,0.2,-0.2,4.3,1.2,1.6,0.3
,,Jun,1.0,-7.8,3.1,8.2,-3.1,-1.3,2.2,-4.3,-0.1,-1.7,1.4,1.0,-5.1,-1.1,2.2,1.7,-0.7,0.6,-1.2,-0.5,4.9,0.1,1.3,1.5,1.0,3.5,2.9,1.0,0.2,0.9,-0.4,-4.7,0.9,0.7
,,Sep,1.6,-1.9,-3.4,-2.4,6.8,-3.3,-0.3,0.6,-2.8,-0.9,0.7,1.9,9.0,2.5,0.7,1.3,1.5,1.8,2.1,2.0,0.1,0.9,2.3,1.5,2.4,-2.8,-0.3,0.9,0.2,-0.7,-0.8,-0.4,1.9,1.1
,,Dec,0.1,2.8,2.6,-5.4,3.7,2.6,5.3,-4.7,2.4,5.8,0.3,2.8,-1.0,2.8,0.8,2.4,0.1,1.3,2.0,0.4,1.1,1.0,1.0,0.7,1.8,1.0,0.5,1.7,0.2,1.0,5.5,0.8,1.5,1.0
2016,,Mar,0.6,3.9,2.1,-6.8,-3.5,1.7,-0.9,3.7,1.4,-4.1,-0.5,0.7,-2.5,-1.3,0.6,4.1,0.0,1.4,1.2,2.3,-0.5,-0.1,2.6,0.7,1.7,6.4,1.6,0.1,0.2,2.3,-2.6,0.8,1.2,1.2
,,Jun,1.3,-2.0,0.2,-4.3,-3.8,-9.2,1.5,5.5,-1.8,5.1,1.5,0.9,10.1,-1.1,-0.8,1.6,0.9,1.7,0.4,-1.0,-1.8,0.9,0.8,1.8,2.0,-0.4,0.6,-0.6,0.2,1.9,-0.9,1.3,2.6,1.0
,,Sep,-4.2,6.5,1.9,-2.5,5.1,-2.6,-0.5,-3.4,9.4,-3.9,-0.6,2.8,2.0,3.8,0.4,0.1,1.3,0.8,3.2,3.4,-2.1,0.6,0.4,1.9,1.4,1.5,1.8,1.1,0.2,0.3,-1.9,2.2,0.0,0.9
,,Dec,0.0,-6.2,-1.5,-0.5,0.5,-1.5,-1.8,3.7,-0.2,-1.7,3.5,-0.8,3.5,0.3,-1.1,1.6,0.0,0.7,0.6,-0.8,-1.3,1.7,0.1,1.7,0.9,3.0,0.4,0.2,0.3,1.3,8.3,5.3,0.5,0.4
2017,,Mar,2.7,2.4,0.4,-1.3,-3.5,2.0,1.8,-5.8,-2.4,-1.2,-1.5,4.3,-2.5,-1.3,0.9,0.9,1.5,2.1,2.5,-1.1,0.1,0.7,1.0,1.1,2.4,0.6,0.8,1.3,0.3,1.1,-4.6,0.7,1.2,1.0
,,Jun,-8.1,9.5,3.6,3.2,11.6,-2.5,-0.5,-2.4,1.9,-0.4,-0.1,-3.4,-4.8,3.3,-1.7,3.0,1.1,0.7,3.5,2.6,0.3,1.8,-0.3,2.0,0.5,2.5,0.9,2.2,0.3,0.3,0.6,-0.8,0.5,1.1
,,Sep,-2.3,0.7,2.8,3.6,-6.4,1.2,2.7,5.5,-1.1,4.2,0.2,9.5,0.2,-0.4,-0.8,5.5,0.4,1.0,-1.2,0.9,1.1,1.8,-1.2,1.2,1.8,-2.0,0.0,-0.1,0.2,1.3,5.0,2.0,1.2,0.9
,,Dec,-0.9,4.9,2.4,4.9,-5.3,14.7,0.0,-3.0,0.3,1.9,-2.3,-4.7,0.0,-2.4,1.5,1.2,2.7,1.6,0.2,1.4,1.9,3.9,0.5,1.1,1.4,3.3,-0.1,1.3,0.2,-0.1,6.3,-0.4,2.3,0.8
2018,,Mar,2.9,-3.3,0.7,-5.0,2.3,-11.3,1.8,2.6,-0.3,-4.0,2.5,6.7,4.0,1.9,-0.6,-0.9,0.4,0.6,1.1,0.2,2.7,-0.4,0.6,1.2,0.4,3.0,2.8,1.8,0.1,0.3,-3.0,1.0,1.1,0.8
,,Jun,5.7,0.6,-1.5,-13.4,4.4,5.5,-3.3,-0.8,-2.3,2.4,1.0,4.1,-1.5,1.8,6.2,-0.2,1.6,1.7,0.4,0.8,3.8,1.4,0.4,0.8,1.4,3.4,1.5,0.3,0.1,0.9,0.5,1.9,0.2,1.1
,,Sep,0.8,4.6,-0.6,9.3,-1.8,-1.9,0.2,-2.2,5.6,2.9,1.1,-4.7,-7.0,-0.6,-1.1,-0.7,0.5,0.8,-0.7,0.6,0.7,-0.5,-0.1,0.9,-1.4,-2.5,-0.6,2.2,0.0,0.8,5.2,-2.0,0.6,0.3
,,Dec,1.4,-0.8,3.7,-6.7,2.5,3.0,1.5,0.4,-1.2,-3.3,-0.4,-0.4,8.6,0.8,-0.1,2.8,0.1,2.0,3.1,-0.5,1.7,1.7,-1.1,1.1,3.0,2.2,3.5,1.7,0.0,0.8,-3.0,-0.3,1.1,1.3
2019,,Mar,-1.7,2.3,2.9,1.7,1.7,-1.5,-2.5,2.3,3.3,4.6,3.5,-2.1,-1.6,1.2,1.0,5.5,0.4,0.9,-2.1,1.3,-1.1,-0.5,0.7,1.8,0.1,-2.3,-0.2,0.4,-0.1,2.4,-4.4,2.0,0.5,0.6
,,Jun,-1.9,-3.0,-0.8,-2.5,-3.7,1.3,2.0,-2.2,-2.6,-2.5,-2.0,0.1,0.6,-2.0,1.0,0.7,0.5,0.2,0.3,2.6,0.2,2.0,1.3,0.6,0.8,1.6,0.5,2.3,-0.1,0.1,4.3,1.3,-0.4,0.5
,,Sep,-0.5,-2.0,-1.8,1.4,0.3,-2.4,-0.5,1.1,-1.8,-3.2,0.6,3.1,8.4,0.4,-0.8,2.3,0.3,2.1,1.2,-1.5,1.2,-0.1,-0.1,1.1,3.9,-2.7,2.6,0.6,-0.1,0.5,4.0,0.6,1.7,0.8
,,Dec,-0.7,-3.3,1.3,-0.3,0.3,-3.7,-2.7,-0.7,0.4,-1.1,-1.6,1.8,-3.4,-0.2,0.5,0.7,0.3,0.8,0.2,2.0,0.0,-0.2,0.4,0.9,0.2,1.5,2.2,3.6,-0.1,0.6,4.8,-0.5,1.1,0.3
2020,,Mar,-0.5,-2.4,1.7,4.2,-0.4,-17.1,4.1,-4.0,-1.0,-0.2,-3.5,-5.8,-2.2,-1.9,-0.4,-4.6,-0.9,1.1,-10.2,-7.0,1.7,-1.9,-0.6,0.6,2.0,-1.5,1.9,-0.4,-0.7,1.3,-7.0,-2.0,-1.0,-1.1
,,Jun,-0.9,-14.1,0.6,-28.7,-4.2,-20.7,-19.9,-23.6,-12.0,-24.2,-21.3,-14.7,-18.1,-11.9,-6.0,-25.8,-12.0,-13.5,-37.1,-26.5,-5.3,0.1,-4.3,0.6,-6.9,-31.2,2.0,1.4,-7.6,-3.8,-35.2,-16.1,-16.0,-10.4
,,Sep,6.4,26.0,7.1,16.2,10.9,68.3,27.2,20.2,11.3,43.5,32.2,17.3,47.1,17.9,4.9,51.1,19.1,25.7,84.4,13.8,6.6,0.6,8.7,0.9,6.1,19.9,-0.6,1.8,5.7,6.1,46.7,19.8,17.9,13.7
,,Dec,-2.1,2.2,-2.7,-3.0,-2.2,-17.1,2.8,6.6,-1.2,-3.2,-1.1,6.5,-13.1,-0.7,0.6,-8.3,-1.8,-2.8,-4.4,5.8,0.6,0.2,0.5,1.7,1.1,3.8,-0.4,2.0,0.7,1.2,4.3,5.5,-0.6,-0.4
2021,,Mar,1.6,1.9,1.5,-0.9,0.0,14.0,1.3,-0.2,-4.1,3.2,0.2,8.0,5.1,1.3,-1.7,7.5,4.0,3.0,-1.9,-0.3,2.2,-1.7,-0.6,0.9,2.1,4.0,0.5,1.0,0.1,2.3,-4.1,1.1,7.6,1.7
,,Jun,2.2,0.7,13.1,3.5,-1.3,-1.4,-0.3,1.8,2.2,3.6,2.8,-0.2,5.7,0.4,3.4,-1.0,2.2,2.7,20.7,13.9,-1.2,0.1,0.1,0.8,3.5,4.5,-0.4,-0.2,-0.9,2.6,6.0,3.2,-2.5,2.3
,,Sep,-4.9,-6.6,-6.7,-7.1,-1.8,-13.2,-11.7,-6.8,-6.8,-21.2,-13.1,-8.7,-12.2,-7.1,0.4,-10.0,-1.5,-7.8,-23.2,-4.3,-1.6,0.5,-0.8,1.3,0.1,-7.1,2.0,1.3,-3.2,0.3,-16.1,-12.6,-5.2,-3.9
,,Dec,-2.5,1.8,0.2,8.2,-2.4,19.6,15.1,5.7,2.7,28.6,16.6,12.7,10.9,6.1,0.8,8.7,4.9,10.6,-2.8,-1.1,2.1,-0.4,0.4,1.1,8.7,2.3,0.6,0.7,-2.4,4.0,-2.5,8.1,3.7,3.0
2022,,Mar,1.0,-0.8,-5.0,-8.8,-1.7,-10.3,-3.5,0.2,1.1,0.3,-0.3,-3.3,1.9,-1.5,-0.1,1.3,1.5,-2.4,-0.6,-2.2,-1.2,-1.3,0.0,0.9,-1.2,6.0,0.0,0.0,3.8,0.6,0.1,0.0,1.0,-0.2
,,Jun,0.2,-0.8,7.7,-7.9,3.1,6.2,-1.2,5.5,-40.4,-1.8,-2.2,-1.3,-5.8,-5.9,0.0,-2.4,1.7,-3.7,30.0,19.7,-0.4,1.8,-0.1,0.2,0.4,4.7,0.8,-0.2,-0.8,0.9,19.9,1.7,1.9,1.7